name,"('Футболка ТВОЕ', 553684064.0)","('Футболка Mechtay, 1 шт', 541633464.0)","('Футболка Pavlotti', 469025837.0)","('Футболка ТВОЕ', 561044919.0)","('Футболка ТВОЕ', 584914858.0)","('Футболка ТВОЕ', 507023972.0)","('Футболка Vilatte, 1 шт', 226455110.0)","('Футболка ТВОЕ', 478020597.0)","('Футболка Апрель', 605552872.0)","('Футболка ТВОЕ', 579566690.0)","(nan, nan)","(nan, nan)","('Футболка, 1 шт', 547656257.0)","('Футболка ТВОЕ', 522406676.0)","('Футболка ТВОЕ', 579565134.0)","('Футболка Апрель', 514665485.0)","('Футболка, 1 шт', 547897624.0)","('Футболка, 1 шт', 547657142.0)","('Футболка ТВОЕ', 515326488.0)","('Футболка ТВОЕ', 512131478.0)","('Футболка ТВОЕ', 528591629.0)","('Футболка ТВОЕ', 515326656.0)","(nan, nan)","('Футболка ТВОЕ', 579567018.0)","('Футболка футболка, 1 шт', 623971928.0)","('Футболка ТВОЕ', 569682067.0)","(nan, nan)","(nan, nan)","('Футболка, 1 шт', 550054914.0)","('Футболка ТВОЕ', 507023685.0)","('Футболка ТВОЕ', 512131488.0)","('Футболка KINZA Новинка, 1 шт', 640198208.0)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
"(nan, nan)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.56,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(nan, nan)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,105.56,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка, 1 шт', 547656257.0)",29.63,24.07,16.67,27.78,35.19,27.78,18.52,24.07,14.81,24.07,,,105.56,27.78,24.07,18.52,12.96,48.15,24.07,27.78,27.78,24.07,,24.07,25.93,25.93,,,76.19,24.07,27.78,24.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22.22,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 522406676.0)",80.77,27.78,53.7,81.73,70.19,55.56,20.37,83.65,20.37,86.54,,,27.78,105.56,75.0,31.48,12.96,29.63,75.96,77.88,70.19,75.96,,78.85,53.7,75.96,,,33.33,81.73,72.12,27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,60.58,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 579565134.0)",66.35,20.37,35.19,82.69,68.27,38.89,22.22,76.92,25.93,76.92,,,24.07,75.0,105.56,22.22,14.81,27.78,65.38,67.31,71.15,65.38,,69.23,25.93,67.31,,,29.63,75.0,67.31,31.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,58.65,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка Апрель', 514665485.0)",31.48,31.48,16.67,31.48,38.89,25.93,14.81,20.37,48.15,25.93,,,18.52,31.48,22.22,105.56,22.22,22.22,20.37,24.07,38.89,20.37,,25.93,29.63,20.37,,,24.07,18.52,38.89,24.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14.81,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка, 1 шт', 547897624.0)",12.96,11.11,9.26,12.96,12.96,14.81,12.96,9.26,20.37,12.96,,,12.96,12.96,14.81,22.22,105.56,14.81,9.26,12.96,12.96,9.26,,12.96,11.11,12.96,,,14.81,12.96,12.96,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.26,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка, 1 шт', 547657142.0)",31.48,25.93,18.52,29.63,37.04,29.63,20.37,25.93,16.67,25.93,,,48.15,29.63,27.78,22.22,14.81,105.56,25.93,29.63,29.63,25.93,,25.93,27.78,27.78,,,46.3,25.93,29.63,27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24.07,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 515326488.0)",75.96,25.93,37.04,71.15,68.27,59.26,35.19,76.92,16.67,73.08,,,24.07,75.96,65.38,20.37,9.26,25.93,105.56,90.38,70.19,82.69,,73.08,48.15,85.58,,,27.78,74.04,73.08,42.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,61.54,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 512131478.0)",77.88,25.93,37.04,73.08,70.19,62.96,35.19,76.92,20.37,75.0,,,27.78,77.88,67.31,24.07,12.96,29.63,90.38,105.56,72.12,80.77,,75.0,48.15,87.5,,,31.48,75.96,75.0,42.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,61.54,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
