offer_id,name,description,Сезон,Коллекция,Рост,Стиль,Размер товара на фото,Рост модели на фото,Параметры модели на фото,Тип,Бренд в одежде и обуви,Российский размер,Пол,Страна-изготовитель,Вид принта,Инструкция по уходу,Материал подклада/внутренней отделки,Вид одежды,Тип застежки,Длина рукава,Тип упаковки одежды,Размер производителя,"Длина изделия, см","Длина рукава внешняя, см",Цвет,"Длина рукава по внутреннему шву, см",Материал,Количество в упаковке,Детали,Вид спорта,Серия в одежде и обуви
348032843,Рубашка OVS,,На любой сезон,Осень-зима 2021,,Повседневный,,,,Рубашка,OVS,44,Женский,Бангладеш,,,,,,,Пакет,INT M,,,Medium blue,,"['Хлопок', '98% хлопок 2% эластан']",,,,
589725070,Блузка GismoTop Одежда для женщин,,На любой сезон,Базовая коллекция,150-180,,44,173 см,(ОГ-ОТ-ОБ)     89-63-95    ,Блузка,GismoTop,44,Женский,Киргизия,Принт/Логотип,,Без подклада,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,44,55,,Белый,,"['Полиэстер', '100% полиэстер']",1,Манжеты,,Одежда для женщин
343607572,Блузка SPARADA,"блуза комбинированная с гипюром. низ на широком манжете. приспущенный рукав. ткань- трикотаж с гладкой шелковистой фактурой. базовая вещь под жакет, пиджак или, как самостоятельная еденица гардероба.",На любой сезон,Базовая коллекция,,,,,,Блузка,SPARADA,50,Женский,Россия,,,,,,,Пакет,,,,Синий,,"['65% полиэстер, 30% вискоза, 5% эластан.', 'гипюр', 'трикотаж', 'шелк']",,,,
598759612,Блузка DStrend,"лаконичная блузка с воротником в виде банта и рукавами с тонкими манжетами - отличный выбор для делового и повседневного гардероба. универсальная длина позволит носить ее и заправленной, и навыпуск, и даже с поясом, - решать только вам!",Демисезон,Весна-лето 2022,,,44,170 см,88 х 63 х 96 см.,Блузка,DStrend,44,Женский,Россия,,Бережная стирка при 30 градусах,,,,,,,,,Белый,,"['лен', '100 п/э']",,,,
598757615,Блузка DStrend,"классическая блузка с отложным воротничком и застежкой на пуговицах, казалось бы, классика, но и она может стать свежей и современной благодаря дизайнерским находкам. интересный выбор принтов и модные рукава, собранные патами, придают классике новое звучание. будьте на вершине трендов каждый день!",Демисезон,Весна-лето 2022,,,44,170 см,88 х 63 х 96 см.,Блузка,DStrend,54,Женский,Россия,,Бережная стирка при 30 градусах,,,,,,,,,Белый,,"['Хлопок', '100% хлопок']",,,,
511272407,Рубашка PN Market,"рекомендуем обратить внимание на размерный ряд в фото товара!правильная размерная сетка в фото товара!!! рубашка в горошек - оригинальная вещь женского гардероба. модель универсальная, базовая. <br/><br/>рубашка блузка женская хорошо смотрится под пиджак, брюки, юбку и джинсы. отлично подойдёт для офиса, школы, на праздничное мероприятие. крой свободный, слегка приталенный. ткань нежная, приятная тактильно к телу, не мнется, не просвечивает! <br/><br/>очень красивая блуза-рубашка в горошек, в которой вы будите выглядеть по-настоящему изысканной женщиной со вкусом.<br/><br/>рубашка женская, рубашка, рубашки женские, рубашка женская летняя, рубашка летняя женская, женская рубашка, женские рубашки, женские блузки и рубашки, летняя рубашка женская, рубашка женская оверсайз, рубашка оверсайз женская",На любой сезон,Базовая коллекция,,Классический,42,164 см,89-59-90,Рубашка,PN Market,46,Женский,Кыргызстан,Горох,Стирка при t не более 30°С; щадящий режим отжима,,свободная модель,Пуговицы/Пуговица,Длинный,Пакет,L,,,Фисташковый,,"['лен', 'Вискоза', '55% Вискоза / 45% Полиэстер ']",1,,,
309090741,Рубашка ТВОЕ,"рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день. ",На любой сезон,Осень-зима 2021,,Повседневный,44,172 см,,Рубашка,ТВОЕ,48,Женский,Китай,Однотонный,стирка при t не более 30С; щадящий режим отжима,,прямая,Пуговицы/Пуговица,Длинный,Пакет,L,69,,Белый,,"['лен', 'Полиэстер', '80% Полиэстер; 20% Хлопок']",,,,
607090881,Рубашка Margo VITA,"базовая женская рубашка оверсайз - универсальная вещь в гардеробе современной модницы. женская рубашка прекрасно подходит для офиса, учёбы, повседневной носки. позволит каждой девушке выглядеть свежо и уверенно, актуальна и как блузка женская праздничная. белая рубашка из хлопка комфортная к телу, пропускает воздух и впитывает влагу, выполнена из натурального материала. как одежда свободного кроя она не сковывает движения, замечательно сшита, имеет удлинение сзади. классическая женская рубашка отлично подойдёт для работы и на каждый день в качестве стильной домашней одежды. на официальное мероприятие, для свиданий или для создания вечернего образа подойдёт женская базовая блузка. базовая рубаха женская отлично сочетается с джинсами, брюками, юбка карандаш. модель рубашка бойфренд, подойдет также обладательницам пышных форм и беременным будущим мамам. легко гладится, без лишних деталей. подходит для создания базового гардероба и базовой капсулы, для пляжа удлиненная, школьная для девочек, с длинным рукавом ,для офиса, как второй слой поверх футболки или топа.",На любой сезон,Базовая коллекция,155-180,,44-46,175 см,90-61-92,Рубашка,Margo,универсальный,Женский,Киргизия,Однотонный,,,,Пуговицы/Пуговица,Длинный,Пакет,"42-46, oversize",72,48,Пурпурный,44,"['туаль', 'Хлопок', '100% хлопок ']",1,Воротник,,VITA
192712454,Рубашка MirrorStore,"комфортная рубашка выполнена из плотного хлопка (плотность ткани 160 гр. на метр), который будет сохранять обьем и фактуру после множества стирок. это очень важно для вещей из натуральных тканей, особенно белого цвета.<br/><br/>после первой стирки ткань станет чуть мягче.<br/><br/>рубашка в стиле oversize.<br/><br/>прямой крой, спущенная линия плеча, разрезы в боковых швах.<br/><br/>застежка на пуговицы скрыта под декоративной планкой.<br/><br/>параметры модели на фото: рост 175 см., обхват груди 82 см., обхват талии 60 см., обхват бедер 89 см.<br/><br/>на модели размер s-m.<br/><br/>длина изделия: 70 см.<br/><br/>длина изделия по спинке: 77 см.<br/><br/>длина плечевого шва от воротника: 72 см.<br/><br/>обхват талии: 108 см.<br/><br/>обхват бедер: 108 см.<br/><br/>большой накладной карман на груди (длина 15 см., высота 18,5 см.) расположен от плечевого шва на расстоянии 23 см. для размера s-m, 24 см. - для размера m-l.рубашка выполнена из плотной хлопковой ткани со сложным переплетением нитей.сделано в россии.",На любой сезон,Базовая коллекция,155-185,,42,175 см,,Рубашка,MirrorStore,44,Женский,Россия,,"Бережная стирка до 30 градусов, без отжима.",,,Пуговицы/Пуговица,Длинный,Пакет,M-L,80 см.,,Белый,,"['Хлопок', '95% хлопок, 5% лайкра.']",1,,,
617893591,Рубашка,,На любой сезон,Весна-лето 2022,155-185,,42,,78 - 60 - 88,Рубашка,,40,Женский,Россия,Однотонный,Бережная стирка при 30 градусах без отбеливания,,,Пуговицы/Пуговица,Длинный,Пакет,,68,44,Белый,,"['Хлопок', 'хлопок 50%, эластан 5%, полиэстер 45%']",1,,,
509374453,Рубашка ТВОЕ,"рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, вырез: рубашечный воротник.",На любой сезон,Весна-лето 2022,,Повседневный,44,172 см,,Рубашка,ТВОЕ,50,Женский,Бангладеш,Полоска,стирка при t не более 30С; щадящий режим отжима,,оверсайз,Пуговицы/Пуговица,Длинный,Пакет,XL,83.5,,Сиреневый,,"['лен', 'хлопок', 'Хлопок', '100% Хлопок']",,,,
