offer_id,name,Сезон,Материал,Состав материала,Коллекция,Стиль,Размер товара на фото,Рост модели на фото,Тип,Бренд в одежде и обуви,Российский размер,Пол,Страна-изготовитель,Вид принта,Инструкция по уходу,Вид одежды,Тип застежки,Тип упаковки одежды,Размер производителя,Цвет,Длина рукава,Рост,Материал подклада/внутренней отделки,Вид спорта,Количество в упаковке,"Длина изделия, см",Параметры модели на фото,Серия в одежде и обуви,Детали,"Вес товара, г"
579567018,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,173 см,Футболка,ТВОЕ,42,Женский,Молдова,Принт/Логотип,стирка при t не более 30С; щадящий режим отжима,прямая,Без застежки,Пакет,XS,Темно-серый,,,,Фитнес,,50.5,,,,
623971928,"Футболка футболка, 1 шт",На любой сезон,Хлопок,100% хлопок,Базовая коллекция,Повседневный,44,165 см,Футболка,футболка,46,Женский,Россия,Принт/Логотип,,прямая,Без застежки,Пакет,46,Бежевый,Короткий,164,Без подклада,Фитнес,1,62,"обхват груди 84 см, объем талии 60см, объем бедер 90см. ",,,
569682067,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,175 см,Футболка,ТВОЕ,48,Женский,Россия,Принт/Логотип,стирка при t не более 30С; щадящий режим отжима,приталенная,Без застежки,Пакет,L,Белый,,,,Фитнес,,,,,,
467227814,"Футболка, 1 шт",На любой сезон,Хлопок,Хлопок 100%,Базовая коллекция,Повседневный,,165 см,Футболка,,48,Женский,Россия,Принт/Логотип,Бережная стирка 30 градусов С,,,,M,Девушка загадка ,,,,,1,,,,,
550054914,"Футболка, 1 шт",На любой сезон,Хлопок,"хлопок 92%, эластан 8%",Весна-лето 2022,Повседневный,44,170 см,Футболка,,44,Женский,,,,оверсайз,Без застежки,Пакет,S-M,Какао,Короткий,,Хлопок,,1,66,90-60-92,,,
507023685,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,177 см,Футболка,ТВОЕ,46,Женский,Молдова,Принт/Логотип,стирка при t не более 30С; щадящий режим отжима,средняя длина,Без застежки,Пакет,M,Черный,,,,,,55.5,,,,
512131488,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,172 см,Футболка,ТВОЕ,44,Женский,Россия,Однотонный,стирка при t не более 30С; щадящий режим отжима,приталенная,Без застежки,Пакет,S,Оранжевый,Короткий,,,Фитнес,,,,,,
640198208,"Футболка KINZA Новинка, 1 шт",На любой сезон,Кулирная гладь,100% хлопок,Базовая коллекция,Повседневный,42,164 см,Футболка,KINZA,52,Женский,Россия,Цветочный,,свободная модель,Без застежки,Пакет,52,Белый,Короткий,164,,,1,66,,Новинка,,
292114586,Футболка ozon,На любой сезон,,100% хлопок,Базовая коллекция,,,,Футболка,ozon,52,Женский,Китай,Принт/Логотип,,,,Пакет,EU 52,Белый,Короткий,185,,,,70,,,,275
601166565,"Футболка Zarina, 1 шт",Демисезон,Хлопок,100% хлопок,Весна-лето 2022,Повседневный,42,170 см,Футболка,Zarina,46,Женский,Узбекистан,Однотонный,,,Без застежки,Пакет,M,Лиловый,Короткий,165-175,Без подклада,,1,74,90-60-90,,,
