"DESCRIPTION","NAME","OFFERID","PICTURE","PRICE","URL"
"Корд триммерный CoreCut Husqvarna 5976692-22 применяется при работе триммерами для кошения травы. Заправляется в триммер","Леска для триммера ф2,7мм 210 м Husqvarna CoreCut (5976692-22)","37764849","https://www.enkor24.ru/u/images/products/1d/1d8b7b2a431e4e502e665bae52c05ed6076c922e.jpg","5477","https://www.enkor24.ru/product/104161-leska-dlya-trimmera-f2-7mm-210-m-husqvarna-corecut-5976692-22"
"None","Леска для триммера ф2,4мм x15м, Opti круг Husqvarna (5976688-20)","37764850","https://www.enkor24.ru/u/images/products/2d/2dde814fe0d21a7c6d1f5da9c80305f65bb6d923.jpg","355","https://www.enkor24.ru/product/104395-leska-dlya-trimmera-f2-4mm-x15m-opti-krug-husqvarna-5976688-20"
"Корд триммерный Opti Penta Husqvarna 5976690-01 применяется при работе триммерами для кошения травы. Заправляется в трим","Леска для триммера ф2,4мм 90м, Opti Penta Husqvarna (5976690-01)","37764851","https://www.enkor24.ru/u/images/products/93/93ccbce6fb42a1bd87b3718644dbb2862f4d9e06.png","1235","https://www.enkor24.ru/product/104396-leska-dlya-trimmera-f2-4mm-90m-opti-penta-husqvarna-5976690-01"
"None","Леска для триммера ф2,4мм x 210м Whisper Twist Husqvarna (5976691-22)","37764852","https://www.enkor24.ru/u/images/products/04/0413b999acdb7d00f124dd8d961f931cd2de2bfe.jpg","4550","https://www.enkor24.ru/product/104397-leska-dlya-trimmera-f2-4mm-x-210m-whisper-twist-husqvarna-5976691-22"
"None","Леска для триммера ф2,4мм 240м, Opti Penta Husqvarna (5976690-02)","37764853","https://www.enkor24.ru/u/images/products/47/470ac66aa73f686d2c6bc996dd6bf7bbe99e4db5.png","2483","https://www.enkor24.ru/product/104412-leska-dlya-trimmera-f2-4mm-240m-opti-penta-husqvarna-5976690-02"
"None","Леска для триммера ф3,0мм 240м, Opti Penta Husqvarna (5976690-21)","37764854","https://www.enkor24.ru/u/images/products/47/470ac66aa73f686d2c6bc996dd6bf7bbe99e4db5.png","5600","https://www.enkor24.ru/product/104414-leska-dlya-trimmera-f3-0mm-240m-opti-penta-husqvarna-5976690-21"
"Корд триммерный CoreCut Husqvarna 5976692-32 применяется при работе триммерами для кошения травы. Заправляется в триммер","Леска для триммера ф3,0мм 210 м CoreCut Husqvarna (5976692-32)","37764855","https://www.enkor24.ru/u/images/products/c6/c6df7fd8ecbaa57fde9a1eeb4d46e0b485c91663.png","8700","https://www.enkor24.ru/product/104415-leska-dlya-trimmera-f3-0mm-210-m-corecut-husqvarna-5976692-32"
"None","Леска для триммера ф2,4мм 12 м CoreCut Husqvarna (5976692-10)","37764856","https://www.enkor24.ru/u/images/products/14/142a200ad7ce3bba2c5b69ca577e288c3dc55088.jpg","496","https://www.enkor24.ru/product/104416-leska-dlya-trimmera-f2-4mm-12-m-corecut-husqvarna-5976692-10"
"None","Леска для триммера Ø 2,7мм 10м Husqvarna (5976691-30)","37764857","https://www.enkor24.ru/u/images/products/94/94fb20b79579cb011c9912714196fd3712e960fb.jpg","445","https://www.enkor24.ru/product/108951-leska-dlya-trimmera-2-7mm-10m-husqvarna-5976691-30"
"None","Леска для триммера Ø 2 мм x 15м  Husqvarna (5976691-10)","37764858","https://www.enkor24.ru/u/images/products/94/94fb20b79579cb011c9912714196fd3712e960fb.jpg","489","https://www.enkor24.ru/product/108958-leska-dlya-trimmera-2-mm-x-15m-husqvarna-5976691-10"
