name,"Аккумулятор Энкор А-18/1,5Л (50396)","Аккумулятор Энкор AccuMaster АК1811-1,5Li (49011)","Аккумулятор Энкор AccuMaster АК1821-1,5Ni","Аккумулятор Энкор А-14,4/1,5Л (50395)","Аккумулятор Энкор AccuMaster АК1816-4,0Li (49016)","Аккумулятор Энкор А-12/1,5Л (50394)","Аккумулятор 10,8 В 4,0 Ач  Li-Power",Аккумулятор (18 В; 5.0 А*ч; Li-Ion) DeWALT DCB184-XJ,Аккумулятор R03 NI-MN 1000мА.ч BP-2 2шт (153782),Аккумулятор КОСМОС R03 NI-MN 900мА.ч BP-2 2шт (127198),Аккумулятор КОСМОС R6 NI-MN 2800мА.ч BP-2 2шт (153783),"Аккумулятор 18 В 4,0 Ач  Li-Ion Bosch (0 602 494 004)","Аккумулятор Greenworks G24B2, 24V, 2 А.ч (2926707)",Аккумулятор BR 21VMax Pro UES (21 В; 2 А*ч; Li-ion) PATRIOT (180301120) ,Аккумулятор (82 В; 5 А*ч) G82B5 Greenworks (2914607) ,Аккумулятор КОСМОС R6 NI-MN 2500мА.ч BP-2 2шт (127202),Аккумулятор G40B4 (40V; 4 А.ч) GreenWorks (2927007),Аккумуляторная батарея HUTER 12В 7Ач (64/1/54),Аккумулятор (2 А*ч; 24 В) G24B2 Greenworks (2902707) ,"Аккумулятор компактный 36 В, 2.6 А.ч, Li-Ion Husqvarna BLi100 (9670918-01)",Аккумулятор (4 А*ч; 60 В) G60B4 Greenworks (2918407) ,"Аккумулятор Greenworks G24В4, 4 Ач (2926807)",Аккумулятор (2 А*ч; 60 В) G60B2 Greenworks (2918307),Акк. батарея  AР 115,Аккумулятор КОСМОС R6 NI-MN 1900мА.ч BP-2 2шт (127201),"Аккумулятор G40В2, 2 Ач Greenworks (2926907)","Аккумулятор LI-Power Extreme (18 В; 5,2 А*ч) Metabo (625592000)"
https://www.enkor24.ru/product/91191-akkumulyatornyj-trimmer-stihl-fsa-90-4863-200-0053,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0
https://www.enkor24.ru/product/109239-trimmer-akkumulyatornyj-patriot-tr-235-li-21v-ues-250205235,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,50.0,100.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,50.0
https://www.enkor24.ru/product/112346-trimmer-akkumulyatornyj-stihl-fsa-60-r-fa04-011-5704,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0
https://www.enkor24.ru/product/96170-akkumulyatornyj-trimmer-gardena-smallcut-li-23r-09822-20-000-00,37.5,37.5,18.75,81.25,50.0,43.75,56.25,50.0,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,43.75
https://www.enkor24.ru/product/104023-trimmer-akkumulyatornyj-patriot-tr-240-li-21v-max-ues-250205240,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,50.0,100.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,50.0
https://www.enkor24.ru/product/108545-akkumulyatornyj-trimmer-greenworks-g24lt25-24-v-2107207,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,100.0,56.25,50.0,18.75,56.25,25.0,100.0,50.0,56.25,100.0,56.25,50.0,18.75,56.25,50.0
https://www.enkor24.ru/product/108565-trimmer-akkumulyatornyj-greenworks-g40lt30-21107va,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,50.0,18.75,100.0,25.0,62.5,50.0,56.25,62.5,56.25,56.25,18.75,100.0,50.0
https://www.enkor24.ru/product/114408-trimmer-akkumulyatornyj-makita-lxt-bl-18-v-dur192lz,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/114409-akkumulyatornyj-trimmer-makita-dur181z,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/59298-akkumulyatornyj-trimmer-gardena-easycut-li-18-23-r-09823-20-000-00,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/98267-trimmer-akkumulyatornyj-stihl-fsa-56-4522-011-5704,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0
https://www.enkor24.ru/product/109737-trimmer-karcher-ltr-18-25-battery-1-444-300,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/110174-akkumulyatornyj-trimmer-husqvarna-115il-akb-i-zu-9670988-02,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,56.25,50.0,56.25,50.0,56.25,18.75,50.0,50.0
https://www.enkor24.ru/product/103840-akkumulyatornyj-trimmer-bosch-universalgrasscut-18-260-0-600-8c1-d00,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,56.25,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/97672-akkumulyatornyj-trimmer-dewalt-dcm561p1s-qw,81.25,81.25,62.5,43.75,93.75,43.75,56.25,100.0,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/112901-trimmer-akkumulyatornyj-makita-dur368az,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,93.75,18.75,50.0,50.0
https://www.enkor24.ru/product/58617-nasadka-trimmer-enkor-accumaster-akm3611-dlya-akm3610,31.25,31.25,31.25,31.25,43.75,31.25,37.5,37.5,18.75,18.75,18.75,31.25,37.5,37.5,31.25,18.75,37.5,25.0,37.5,31.25,37.5,37.5,37.5,37.5,18.75,37.5,31.25
https://www.enkor24.ru/product/59102-akkumulyatornyj-trimmer-ryobi-olt1831s-one-3002162,62.5,62.5,62.5,25.0,75.0,25.0,37.5,75.0,18.75,18.75,18.75,31.25,31.25,31.25,25.0,18.75,31.25,25.0,31.25,31.25,31.25,31.25,31.25,31.25,18.75,31.25,68.75
https://www.enkor24.ru/product/114666-akkumulyatornyj-trimmer-makita-dur182lz,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/114668-trimmer-akkumulyatornyj-makita-dur365uz,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/114693-trimmer-akkumulyatornyj-makita-dur-187-l-z,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/114667-trimmer-akkumulyatornyj-makita-dur364lz,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/114695-trimmer-akkumulyatornyj-makita-dur-184-l-z,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/108109-akkumulyatornyj-trimmer-bosch-easygrasscut-18-26-0-600-8c1-c00,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,56.25,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/77268-akkumulyatornyj-trimmer-husqvarna-536-lirx-9673267-11,25.0,25.0,25.0,25.0,37.5,25.0,37.5,37.5,18.75,18.75,18.75,31.25,37.5,37.5,31.25,18.75,37.5,25.0,37.5,37.5,37.5,37.5,37.5,37.5,18.75,37.5,31.25
