url_number,name,67159,67158,83024,9952,38229,83031,112286,83030,112287,72178,67709,96727,96726,87963,97776,104160,97771,83805,71710,75169,74895,108952,115260,9945,97772,97885,95340,75170,75439,9941,9960,51794,50119,82811,80764,97881,86458,111792,9902,66924,83801,97774,97889,85139,9906,9950,97883,83142,70204,75443,76039,50120,110981,104733
67709,Перфоратор Bosch GBH 12-52 D Professional (0 611 266 100),30.16,26.98,23.02,19.05,19.05,23.02,16.67,23.02,21.43,32.54,68.25,40.48,23.81,57.14,29.37,16.67,18.25,25.4,17.46,19.84,24.6,18.25,15.08,19.84,16.67,24.6,11.11,22.22,21.43,24.6,26.19,28.57,19.05,22.22,30.16,19.84,11.11,20.63,23.81,21.43,25.4,19.84,21.43,15.87,22.22,23.02,24.6,22.22,11.9,24.6,28.57,20.63,21.43,22.22
96727,Перфоратор Hikoki DH52MENSZ,30.16,28.57,24.6,17.46,17.46,24.6,15.08,24.6,19.84,28.57,40.48,68.25,45.24,40.48,30.95,19.05,19.05,19.84,19.05,19.05,21.43,14.29,15.08,15.87,15.08,28.57,9.52,21.43,19.84,22.22,22.22,24.6,20.63,18.25,26.19,18.25,9.52,16.67,19.84,20.63,19.84,18.25,22.22,14.29,18.25,20.63,26.19,18.25,9.52,23.02,23.02,22.22,19.05,18.25
96726,Перфоратор Hikoki DH40MEYNSZ,30.95,29.37,19.05,15.87,15.87,19.05,9.52,19.05,14.29,36.51,23.81,45.24,62.7,23.81,25.4,13.49,13.49,14.29,17.46,17.46,15.87,12.7,9.52,14.29,9.52,23.02,7.94,15.87,14.29,20.63,20.63,19.05,19.05,12.7,20.63,12.7,7.94,11.11,14.29,19.05,14.29,12.7,16.67,12.7,12.7,19.05,20.63,12.7,9.52,15.87,17.46,20.63,17.46,12.7
87963,Перфоратор Bosch GBH 12-52 DV Professional (0 611 266 000),30.16,30.16,23.02,15.87,15.87,23.02,16.67,23.02,21.43,29.37,57.14,40.48,23.81,69.84,32.54,18.25,18.25,22.22,17.46,19.84,19.84,19.84,15.08,16.67,16.67,24.6,7.94,22.22,18.25,23.02,23.02,25.4,19.05,19.05,26.98,16.67,7.94,20.63,20.63,21.43,22.22,19.84,18.25,12.7,19.05,21.43,24.6,19.05,10.32,21.43,25.4,20.63,23.02,22.22
97776,Перфоратор SDS max PATRIOT RH 400 (140301350),30.95,36.51,25.4,15.87,19.84,25.4,19.05,25.4,23.81,26.98,29.37,30.95,25.4,32.54,62.7,18.25,18.25,18.25,17.46,17.46,21.43,15.87,19.05,14.29,19.05,24.6,7.94,19.84,20.63,22.22,20.63,23.02,19.05,16.67,24.6,19.05,10.32,18.25,18.25,19.05,18.25,22.22,18.25,12.7,18.25,19.05,26.98,16.67,7.94,22.22,21.43,20.63,20.63,19.84
104160,Перфоратор SDS+ DeWalt D25133B-KS + сумка,12.7,14.29,29.37,24.6,28.57,38.89,40.48,29.37,40.48,12.7,16.67,19.05,13.49,18.25,18.25,73.02,41.27,50.79,26.98,28.57,28.57,38.1,48.41,27.78,52.38,26.98,17.46,38.89,31.75,23.02,21.43,34.13,25.4,37.3,32.54,41.27,36.51,38.1,48.41,24.6,46.83,37.3,40.48,19.84,45.24,29.37,26.98,38.89,23.81,26.98,31.75,26.98,31.75,47.62
97771,Перфоратор PATRIOT RH 160 (140301160) ,12.7,14.29,29.37,20.63,28.57,29.37,43.65,29.37,36.51,14.29,18.25,19.05,13.49,18.25,18.25,41.27,72.22,37.3,23.81,25.4,26.98,34.92,38.89,26.19,48.41,25.4,17.46,35.71,38.89,19.84,19.84,28.57,18.25,37.3,30.16,32.54,28.57,39.68,38.89,21.43,37.3,42.06,31.75,19.84,35.71,22.22,26.98,37.3,16.67,26.98,30.16,19.84,30.16,38.1
83805,Перфоратор Metabo KHE 2644 (606157510),15.87,14.29,30.95,29.37,34.92,38.89,38.89,30.95,37.3,19.84,25.4,19.84,14.29,22.22,18.25,50.79,37.3,76.19,30.16,39.68,37.3,40.48,49.21,34.92,50.79,26.19,22.22,50.0,36.51,28.57,28.57,39.68,30.16,50.0,39.68,46.03,42.86,38.89,59.52,31.75,61.11,39.68,41.27,28.57,56.35,34.92,34.13,48.41,29.37,31.75,44.44,31.75,32.54,52.38
71710,Перфоратор DeWalt D25144K-KS,19.05,17.46,30.95,27.78,31.75,26.98,29.37,30.95,26.19,17.46,17.46,19.05,17.46,17.46,17.46,26.98,23.81,30.16,63.49,42.86,34.92,32.54,26.98,26.19,25.4,22.22,15.87,39.68,23.02,33.33,26.19,33.33,30.95,30.16,30.16,22.22,25.4,26.98,31.75,34.92,30.16,32.54,23.81,34.13,33.33,38.89,26.19,33.33,19.84,26.19,37.3,29.37,30.16,24.6
75169,Перфоратор BOSCH GBH 2-28 F Professional (0 611 267 600),19.05,17.46,32.54,27.78,31.75,28.57,26.98,28.57,27.78,19.84,19.84,19.05,17.46,19.84,17.46,28.57,25.4,39.68,42.86,69.05,38.89,32.54,32.54,26.98,26.98,23.81,17.46,61.11,24.6,31.75,26.98,34.13,29.37,39.68,34.13,22.22,26.98,26.98,44.44,31.75,38.1,37.3,25.4,43.65,46.03,44.44,31.75,41.27,22.22,26.19,49.21,27.78,34.13,32.54
