url_number,name,111168,101511,112939,98654,95051,95440,108809,108996,110169,111167,113605,114647,98539,104378,114524,100320,91376,96484,112243,66369,91375,51650,52683,76126,86192,86194,100321,93774,88237,55963,93925,104427,104659,95896,86321,86322,109989,3989,3990,86193,95912,105460,4004,59094,110979
114647,Аккумуляторный ударный гайковерт Hikoki WR36DARGZ,19.15,19.15,20.21,22.34,24.47,19.15,26.6,17.02,26.6,22.34,26.6,76.6,22.34,14.89,39.36,4.26,4.26,4.26,4.26,4.26,4.26,7.45,4.26,7.45,7.45,4.26,4.26,4.26,4.26,4.26,7.45,7.45,2.13,2.13,4.26,4.26,7.45,7.45,4.26,4.26,6.38,4.26,9.57,6.38,4.26
98539,Аккумуляторный ударный гайковерт Metabo PowerMaxx SSD 12 (601114500) ,23.4,17.02,26.6,30.85,30.85,23.4,26.6,21.28,26.6,32.98,28.72,22.34,63.83,45.74,26.6,4.26,4.26,4.26,4.26,6.38,4.26,9.57,6.38,7.45,9.57,6.38,4.26,6.38,4.26,8.51,7.45,7.45,6.38,4.26,4.26,4.26,9.57,9.57,6.38,6.38,4.26,4.26,11.7,8.51,13.83
104378,Гайковерт аккумуляторный ударный Metabo PowerMaxx SSD 12 (601114890),24.47,22.34,21.28,23.4,21.28,25.53,21.28,26.6,21.28,23.4,19.15,14.89,45.74,59.57,19.15,7.45,7.45,7.45,7.45,6.38,7.45,6.38,9.57,4.26,6.38,9.57,7.45,9.57,7.45,9.57,4.26,4.26,9.57,7.45,7.45,7.45,6.38,6.38,9.57,9.57,7.45,7.45,8.51,11.7,17.02
114524,Аккумуляторный гайковерт Makita DTW180RFE,25.53,21.28,26.6,32.98,26.6,21.28,28.72,23.4,28.72,34.04,28.72,39.36,26.6,19.15,79.79,6.38,6.38,6.38,6.38,8.51,6.38,11.7,8.51,9.57,11.7,8.51,6.38,8.51,6.38,8.51,9.57,9.57,6.38,4.26,6.38,4.26,11.7,11.7,8.51,8.51,6.38,6.38,13.83,10.64,6.38
100320,Ударный пневмогайковерт PATRIOT PN 312 (830902040) ,9.57,9.57,6.38,6.38,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,39.36,22.34,18.09,22.34,17.02,29.79,17.02,18.09,21.28,19.15,20.21,28.72,20.21,24.47,22.34,26.6,19.15,13.83,15.96,24.47,18.09,17.02,19.15,22.34,22.34,18.09,24.47,8.51,11.7,7.45
91376,Пневматический гайковерт Fubag IW 720 (100192),9.57,9.57,6.38,6.38,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,22.34,41.49,20.21,39.36,21.28,24.47,19.15,20.21,23.4,17.02,26.6,22.34,20.21,28.72,23.4,21.28,25.53,13.83,15.96,24.47,18.09,21.28,14.89,18.09,20.21,18.09,24.47,8.51,11.7,7.45
96484,"Ударный пневмогайковерт FUBAG IWC 1700 1"" (100260)",7.45,7.45,4.26,4.26,4.26,4.26,4.26,7.45,4.26,4.26,4.26,4.26,4.26,7.45,6.38,18.09,20.21,39.36,20.21,12.77,20.21,12.77,13.83,17.02,12.77,15.96,18.09,15.96,20.21,15.96,17.02,17.02,15.96,18.09,18.09,15.96,12.77,12.77,15.96,15.96,22.34,18.09,6.38,9.57,7.45
112243,"Ударный пневмогайковерт FUBAG IW720  1/2""  (100192)",9.57,9.57,6.38,6.38,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,22.34,39.36,20.21,39.36,21.28,24.47,19.15,20.21,23.4,17.02,26.6,22.34,20.21,28.72,23.4,21.28,25.53,13.83,15.96,24.47,18.09,21.28,14.89,18.09,20.21,18.09,24.47,8.51,11.7,7.45
66369,Гайковерт пневматический Sumake ST 5544SH + набор головок (8094970),8.51,6.38,8.51,8.51,2.13,4.26,6.38,8.51,6.38,8.51,4.26,4.26,6.38,6.38,8.51,17.02,21.28,12.77,21.28,36.17,17.02,21.28,21.28,20.21,21.28,26.6,19.15,19.15,17.02,23.4,17.02,19.15,12.77,10.64,21.28,12.77,23.4,21.28,21.28,19.15,12.77,21.28,10.64,10.64,6.38
91375,Пневматический гайковерт Fubag PW 312 (100109),9.57,9.57,6.38,8.51,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,29.79,24.47,20.21,24.47,17.02,41.49,17.02,18.09,23.4,22.34,20.21,24.47,20.21,28.72,22.34,31.91,21.28,13.83,15.96,24.47,18.09,17.02,20.21,23.4,25.53,18.09,25.53,8.51,11.7,9.57
51650,Пневматический гайковерт Metabo DSSW 360 Set (604118500),8.51,6.38,11.7,14.89,5.32,4.26,9.57,8.51,9.57,11.7,7.45,7.45,9.57,6.38,11.7,17.02,19.15,12.77,19.15,21.28,17.02,41.49,19.15,20.21,24.47,19.15,17.02,19.15,19.15,21.28,22.34,22.34,12.77,10.64,19.15,12.77,26.6,22.34,19.15,19.15,12.77,17.02,13.83,10.64,6.38
52683,Пневматический гайковерт Metabo DRS 68 SET (604119500),14.89,9.57,8.51,8.51,2.13,4.26,6.38,14.89,6.38,8.51,4.26,4.26,6.38,9.57,8.51,18.09,20.21,13.83,20.21,21.28,18.09,19.15,39.36,14.89,19.15,22.34,18.09,20.21,18.09,22.34,14.89,14.89,13.83,11.7,20.21,13.83,19.15,17.02,20.21,20.21,13.83,18.09,10.64,13.83,9.57
76126,Ударный пневмогайковерт FUBAG IW580 + набор головок (100191),6.38,6.38,9.57,9.57,7.45,4.26,7.45,6.38,7.45,9.57,7.45,7.45,7.45,4.26,9.57,21.28,23.4,17.02,23.4,20.21,23.4,20.21,14.89,37.23,22.34,22.34,21.28,17.02,28.72,19.15,26.6,24.47,10.64,12.77,21.28,14.89,20.21,20.21,17.02,19.15,14.89,19.15,11.7,8.51,4.26
86192,Пневматический гайковёрт Garage GR-IW 315 с набором головок (УТ-00000047),8.51,6.38,11.7,11.7,5.32,4.26,9.57,8.51,9.57,11.7,7.45,7.45,9.57,6.38,11.7,19.15,17.02,12.77,17.02,21.28,22.34,24.47,19.15,22.34,41.49,21.28,19.15,19.15,19.15,23.4,25.53,20.21,12.77,10.64,19.15,12.77,24.47,27.66,24.47,34.04,12.77,20.21,13.83,10.64,6.38
86194,Пневматический гайковерт Garage GR-IW- 687,11.7,9.57,8.51,8.51,2.13,4.26,6.38,11.7,6.38,8.51,4.26,4.26,6.38,9.57,8.51,20.21,26.6,15.96,26.6,26.6,20.21,19.15,22.34,22.34,21.28,41.49,20.21,22.34,22.34,22.34,17.02,19.15,15.96,13.83,22.34,15.96,21.28,17.02,20.21,22.34,15.96,22.34,10.64,13.83,9.57
