url_number,name,82937,4356,113921,115400,115401,97759,4338,58226,70028,4364,59245,97867,100326,33387,58702,97866,88508,4362,101125,86993,75448,114646,93873,68084,56858,54938,54939,76491,76490,104829,95049,108046,113893,83116,74904,97731,113952,76785,101087,113953,72529,75432,104501,97728,101507,108997,113923,75433,97012,98239,95295,7408,92737,86171,87137,112384,75901,75444,75445,100286,100395,87127,86167,7422,53017,48057,55586,97868,103332,86168,111894,112051,57923,69684,105089,97869
4364,Дрель безударная DeWalt DWD014S-QS,9.57,17.55,6.38,5.32,9.04,6.38,22.34,25.0,14.89,38.3,9.57,19.15,10.11,7.45,20.74,19.68,13.83,22.34,18.62,6.38,22.87,11.17,4.26,4.26,1.06,10.64,9.57,14.36,13.3,11.17,5.32,7.45,7.45,9.04,9.04,6.91,7.45,10.64,6.38,7.45,10.11,6.38,7.45,6.38,7.98,9.57,6.38,6.38,10.11,8.51,12.23,14.89,11.7,8.51,8.51,13.83,18.62,7.45,8.51,12.23,9.57,10.11,7.45,16.49,12.77,9.57,13.83,13.3,7.45,8.51,14.89,16.49,12.77,11.7,12.77,13.3
59245,Пневматическая дрель Sumake ST-4431С,5.32,7.45,3.19,1.06,1.06,3.19,9.57,9.57,9.57,9.57,17.02,6.38,7.45,12.77,9.57,5.32,5.32,9.57,8.51,5.32,6.38,3.19,1.06,1.06,0.0,5.32,4.26,5.32,5.32,6.38,3.19,3.19,4.26,5.32,5.32,3.19,4.26,6.38,3.19,4.26,5.32,3.19,5.32,3.19,4.26,6.38,4.26,3.19,4.26,5.32,6.38,8.51,5.32,5.32,5.32,6.38,7.45,5.32,4.26,4.26,3.19,6.38,4.26,6.38,6.38,5.32,8.51,4.26,0.0,4.26,7.45,6.38,6.38,5.32,6.38,4.26
97867,Дрель безударная PATRIOT FD 500 (120301420) ,9.04,22.34,7.45,6.38,10.11,7.98,19.15,18.09,12.77,19.15,6.38,39.36,11.17,4.26,15.43,23.94,10.64,20.21,15.43,4.26,18.62,9.57,4.26,4.26,1.06,10.64,8.51,14.36,13.3,9.04,5.85,5.32,7.45,4.26,5.32,4.26,7.45,6.38,6.91,7.45,5.32,6.91,4.26,6.91,5.32,6.38,6.38,6.91,12.77,6.38,10.11,11.7,10.64,6.38,10.11,11.7,15.43,9.04,10.11,13.83,12.77,11.7,4.26,13.3,9.57,7.45,11.7,19.15,6.38,5.32,12.77,14.36,10.64,10.64,11.7,19.15
100326,Дрель пневматическая Patriot PD140S (830902045),2.13,10.11,2.13,1.06,2.13,2.13,10.11,10.11,7.45,10.11,7.45,11.17,18.62,6.38,10.11,10.11,3.19,10.11,9.04,5.32,9.04,4.26,2.13,2.13,0.0,4.26,3.19,4.26,4.26,7.98,4.26,4.26,5.32,4.26,4.26,4.26,5.32,5.32,4.26,5.32,4.26,4.26,5.32,4.26,3.19,6.38,5.32,4.26,9.04,4.26,9.04,5.32,4.26,3.19,5.32,4.26,5.32,4.26,4.26,6.38,6.38,5.32,2.13,4.26,4.26,3.19,5.32,6.38,2.66,3.19,5.32,4.26,4.26,4.26,4.26,6.38
33387,Угловая пневмодрель Sumake ST-7260/4435,5.32,5.32,3.19,2.13,1.06,4.26,7.45,7.45,7.45,7.45,12.77,4.26,6.38,18.09,7.45,5.32,5.32,7.45,6.38,4.26,6.38,3.19,1.06,1.06,0.0,5.32,4.26,5.32,5.32,4.26,1.06,1.06,2.13,3.19,3.19,1.06,2.13,4.26,1.06,2.13,3.19,1.06,3.19,1.06,2.13,5.32,2.13,1.06,3.19,3.19,5.32,6.38,3.19,3.19,3.19,6.38,5.32,5.32,4.26,4.26,1.06,4.26,4.26,6.38,4.26,3.19,6.38,4.26,1.06,2.13,5.32,6.38,6.38,5.32,4.26,4.26
58702,Дрель безударная Metabo BE 10 (600133810),9.57,19.15,7.98,5.32,6.38,6.38,22.34,21.81,18.62,20.74,9.57,15.43,10.11,7.45,37.23,17.02,15.43,23.4,21.28,6.38,15.43,10.64,5.85,6.91,3.72,10.64,9.57,10.64,11.7,17.55,6.38,7.45,8.51,8.51,8.51,6.38,11.17,13.3,7.45,11.17,9.57,8.51,11.17,7.45,7.45,13.3,10.11,7.45,13.83,12.23,15.96,17.55,11.7,9.57,9.57,18.62,16.49,8.51,7.45,11.7,12.23,8.51,8.51,16.49,15.43,11.17,16.49,10.64,4.79,9.57,19.68,17.55,15.43,14.36,15.43,10.64
97866,Дрель безударная PATRIOT FD 450 (120301410) ,8.51,21.28,8.51,6.38,7.45,6.38,15.43,15.96,11.7,19.68,5.32,23.94,10.11,5.32,17.02,39.36,11.7,16.49,14.36,3.19,18.09,13.3,4.26,4.26,1.06,11.7,9.57,13.83,11.7,10.64,3.19,4.26,6.38,4.79,4.79,4.79,6.38,5.32,4.26,6.38,5.85,4.26,3.19,4.26,5.85,5.32,5.32,4.26,12.77,4.26,9.04,10.64,10.64,5.32,7.45,12.77,11.7,8.51,9.57,16.49,11.7,6.38,5.32,11.7,8.51,6.38,10.64,17.02,4.79,4.26,11.7,12.77,11.7,11.7,10.64,15.96
88508,Дрель безударная Metabo BE 850-2 (600573000),11.7,10.64,10.11,7.98,12.23,5.32,14.36,12.77,14.36,13.83,5.32,10.64,3.19,5.32,15.43,11.7,41.49,14.36,14.36,1.06,13.83,14.36,6.91,7.98,3.72,16.49,17.55,17.55,16.49,9.04,7.98,11.7,4.26,12.77,12.77,7.98,5.85,14.89,4.26,5.85,11.17,9.04,12.77,9.04,10.11,10.11,5.85,9.04,4.26,13.83,10.11,17.55,15.43,17.02,12.23,21.28,22.34,13.3,13.3,15.43,17.02,11.17,19.15,22.34,25.0,21.81,19.15,15.43,5.32,14.36,21.28,21.28,20.21,15.43,23.94,15.43
4362,Дрель Bosch GBM 10 RE Professional (0 601 473 600),8.51,17.55,7.98,5.32,7.98,6.38,26.06,23.4,19.68,22.34,9.57,20.21,10.11,7.45,23.4,16.49,14.36,39.36,22.34,6.38,17.02,9.57,5.85,6.91,3.72,10.64,8.51,13.3,14.36,15.96,6.38,7.45,8.51,8.51,8.51,7.45,10.11,13.3,7.45,10.11,9.57,7.45,11.17,7.45,7.45,13.3,9.04,8.51,12.23,12.23,17.02,16.49,11.7,9.57,9.57,16.49,18.09,8.51,7.45,14.36,12.23,14.89,7.45,18.09,14.36,11.17,15.43,15.96,9.04,8.51,17.55,20.21,14.36,14.36,15.43,14.36
101125,Дрель безударная Makita DF 0300,8.51,17.55,7.98,5.32,5.32,6.38,23.4,19.68,18.62,18.62,8.51,15.43,9.04,6.38,21.28,14.36,14.36,22.34,41.49,6.38,14.36,8.51,5.85,5.85,2.66,9.57,9.57,9.57,10.64,14.89,6.38,7.45,8.51,8.51,8.51,6.38,10.11,12.23,8.51,10.11,9.57,7.45,10.11,7.45,7.45,12.23,9.04,7.45,12.23,11.17,15.96,15.43,11.7,10.64,8.51,14.36,14.36,7.45,6.38,10.64,12.23,7.45,8.51,14.36,14.36,12.23,14.36,9.57,3.72,9.57,15.43,14.36,13.3,13.3,15.43,9.57
